index,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
41,Foot Locker,1185732,1/7/20,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500.0,In-store
42,Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,39,315,12285,4054.05,Outlet
43,Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,46,261,12006,5282.64,Online
44,West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,35,525,183750,73500.0,Outlet
45,West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,34,158,5372,2686.0,Online
46,West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,27,173,4671,2008.53,Outlet
47,Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000.0,Outlet
48,West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,45,425,191250,47812.5,Outlet
49,West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,43,128,5504,2201.6,Online
50,West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,5075,1573.25,Outlet
51,West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,31,140,4340,1866.2,Outlet
52,West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,45,425,191250,76500.0,Outlet
53,West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,41,119,4879,2585.87,Online
54,West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,45,275,123750,43312.5,Outlet
55,West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,30,85,2550,1045.5,Outlet
56,West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,44,74,3256,1497.76,Online
57,West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,50,200,100000,55000.0,Outlet
58,West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,37,70,2590,1579.9,Outlet
59,West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,46,52,2392,1674.4,Online
60,West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,45,400,180000,36000.0,Outlet
61,West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,31,140,4340,998.2,Outlet
62,West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,41,116,4756,1617.04,Online
63,West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,31,182,5642,2538.9,Outlet
64,West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,43,160,6880,3784.0,Online
65,West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,45,550,247500,99000.0,Outlet
66,West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,50,120,6000,2400.0,Online
67,West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,55,400,220000,55000.0,Outlet
68,West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,42,124,5208,1666.56,Outlet
69,West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,52,104,5408,2866.24,Online
70,West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,55,400,220000,88000.0,Outlet
71,West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,43,128,5504,2586.88,Outlet
72,West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,50,84,4200,1974.0,Online
73,West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,55,300,165000,57750.0,Outlet
74,West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,41,93,3813,1563.33,Outlet
75,West Gear,1128299,1/18/20,West,Nevada,Las Vegas,Men's Apparel,55,47,2585,1809.5,Online
76,West Gear,1128299,1/18/20,West,Nevada,Las Vegas,Men's Apparel,44,60,2640,1636.8,Outlet
77,West Gear,1128299,1/18/20,West,Nevada,Las Vegas,Men's Apparel,60,175,105000,57750.0,Outlet
78,West Gear,1128299,1/19/20,West,Nevada,Las Vegas,Women's Apparel,54,94,5076,1725.84,Online
79,West Gear,1128299,1/19/20,West,Nevada,Las Vegas,Women's Apparel,55,375,206250,41250.0,Outlet
80,West Gear,1128299,1/19/20,West,Nevada,Las Vegas,Women's Apparel,39,124,4836,1257.36,Outlet
81,West Gear,1128299,1/20/20,West,Nevada,Las Vegas,Men's Street Footwear,60,550,330000,132000.0,Outlet
82,West Gear,1128299,1/20/20,West,Nevada,Las Vegas,Men's Street Footwear,58,143,8294,4229.94,Online
83,West Gear,1128299,1/20/20,West,Nevada,Las Vegas,Men's Street Footwear,41,171,7011,2944.62,Outlet
84,West Gear,1128299,1/21/20,West,Nevada,Las Vegas,Men's Athletic Footwear,62,102,6324,2403.12,Online
85,Foot Locker,1185732,1/21/20,Northeast,New York,New York,Women's Street Footwear,32,323,10336,3927.68,Outlet
86,Foot Locker,1185732,1/21/20,Northeast,New York,New York,Women's Street Footwear,36,276,9936,4669.92,Online
87,Foot Locker,1185732,1/21/20,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000.0,Outlet
88,West Gear,1128299,1/21/20,West,Nevada,Las Vegas,Men's Athletic Footwear,46,116,5336,1547.44,Outlet
89,West Gear,1128299,1/21/20,West,Nevada,Las Vegas,Men's Athletic Footwear,65,350,227500,56875.0,Outlet
90,West Gear,1128299,1/22/20,West,Nevada,Las Vegas,Women's Street Footwear,65,400,260000,104000.0,Outlet
91,Foot Locker,1185732,1/22/20,Northeast,New York,New York,Women's Athletic Footwear,32,248,7936,3015.68,Outlet
92,Foot Locker,1185732,1/22/20,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,Outlet
93,Foot Locker,1185732,1/22/20,Northeast,New York,New York,Women's Athletic Footwear,44,206,9064,4441.36,Online
94,West Gear,1128299,1/22/20,West,Nevada,Las Vegas,Women's Street Footwear,47,120,5640,2538.0,Outlet
95,West Gear,1128299,1/22/20,West,Nevada,Las Vegas,Women's Street Footwear,61,120,7320,3879.6,Online
96,West Gear,1128299,1/23/20,West,Nevada,Las Vegas,Women's Athletic Footwear,59,75,4425,2035.5,Online
97,West Gear,1128299,1/23/20,West,Nevada,Las Vegas,Women's Athletic Footwear,60,300,180000,63000.0,Outlet
98,Foot Locker,1185732,1/23/20,Northeast,New York,New York,Men's Apparel,60,900,540000,162000.0,Outlet
99,Foot Locker,1185732,1/23/20,Northeast,New York,New York,Men's Apparel,58,243,14094,6060.42,Online
100,Foot Locker,1185732,1/23/20,Northeast,New York,New York,Men's Apparel,43,306,13158,4605.3,Outlet
101,West Gear,1128299,1/23/20,West,Nevada,Las Vegas,Women's Athletic Footwear,40,90,3600,1476.0,Outlet
102,West Gear,1128299,1/24/20,West,Nevada,Las Vegas,Men's Apparel,63,52,3276,2162.16,Online
103,West Gear,1128299,1/24/20,West,Nevada,Las Vegas,Men's Apparel,65,200,130000,71500.0,Outlet
104,West Gear,1128299,1/24/20,West,Nevada,Las Vegas,Men's Apparel,47,62,2914,1777.54,Outlet
105,Foot Locker,1185732,1/24/20,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000.0,Outlet
106,Foot Locker,1185732,1/24/20,Northeast,New York,New York,Women's Apparel,36,350,12600,3654.0,Outlet
107,Foot Locker,1185732,1/24/20,Northeast,New York,New York,Women's Apparel,48,290,13920,5289.6,Online
108,Foot Locker,1185732,1/25/20,Northeast,New York,New York,Men's Street Footwear,40,390,15600,8112.0,Outlet
109,Foot Locker,1185732,1/25/20,Northeast,New York,New York,Men's Street Footwear,46,354,16284,10258.92,Online
110,West Gear,1128299,1/25/20,West,Nevada,Las Vegas,Women's Apparel,80,350,280000,56000.0,Outlet
111,Foot Locker,1185732,1/25/20,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000.0,Outlet
112,West Gear,1128299,1/25/20,West,Nevada,Las Vegas,Women's Apparel,54,123,6642,1793.34,Outlet
113,West Gear,1128299,1/25/20,West,Nevada,Las Vegas,Women's Apparel,78,95,7410,2519.4,Online
114,West Gear,1128299,1/26/20,West,Nevada,Las Vegas,Men's Street Footwear,60,550,330000,148500.0,Outlet
115,Foot Locker,1185732,1/26/20,Northeast,New York,New York,Men's Athletic Footwear,48,259,12432,5345.76,Online
116,West Gear,1128299,1/26/20,West,Nevada,Las Vegas,Men's Street Footwear,58,149,8642,5012.36,Online
117,West Gear,1128299,1/26/20,West,Nevada,Las Vegas,Men's Street Footwear,43,171,7353,3529.44,Outlet
118,Foot Locker,1185732,1/26/20,Northeast,New York,New York,Men's Athletic Footwear,35,315,11025,3969.0,Outlet
119,Foot Locker,1185732,1/26/20,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750.0,Outlet
120,Foot Locker,1185732,1/27/20,Northeast,New York,New York,Women's Street Footwear,27,314,8478,3475.98,Outlet
121,Foot Locker,1185732,1/27/20,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000.0,Outlet
122,West Gear,1128299,1/27/20,West,Nevada,Las Vegas,Men's Athletic Footwear,60,104,6240,2683.2,Online
123,West Gear,1128299,1/27/20,West,Nevada,Las Vegas,Men's Athletic Footwear,65,400,260000,78000.0,Outlet
124,Foot Locker,1185732,1/27/20,Northeast,New York,New York,Women's Street Footwear,39,247,9633,4720.17,Online
125,West Gear,1128299,1/27/20,West,Nevada,Las Vegas,Men's Athletic Footwear,43,120,5160,1806.0,Outlet
126,West Gear,1128299,1/28/20,West,Nevada,Las Vegas,Women's Street Footwear,63,116,7308,4165.56,Online
127,West Gear,1128299,1/28/20,West,Nevada,Las Vegas,Women's Street Footwear,65,400,260000,117000.0,Outlet
128,Foot Locker,1185732,1/28/20,Northeast,New York,New York,Women's Athletic Footwear,31,240,7440,2976.0,Outlet
129,Foot Locker,1185732,1/28/20,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000.0,Outlet
130,West Gear,1128299,1/28/20,West,Nevada,Las Vegas,Women's Street Footwear,49,132,6468,3039.96,Outlet
131,Foot Locker,1185732,1/28/20,Northeast,New York,New York,Women's Athletic Footwear,43,216,9288,4644.0,Online
132,Foot Locker,1185732,1/29/20,Northeast,New York,New York,Men's Apparel,43,289,12427,3976.64,Outlet
133,West Gear,1128299,1/29/20,West,Nevada,Las Vegas,Women's Athletic Footwear,57,90,5130,2565.0,Online
134,West Gear,1128299,1/29/20,West,Nevada,Las Vegas,Women's Athletic Footwear,47,105,4935,2270.1,Outlet
135,West Gear,1128299,1/29/20,West,Nevada,Las Vegas,Women's Athletic Footwear,60,300,180000,72000.0,Outlet
136,Foot Locker,1185732,1/29/20,Northeast,New York,New York,Men's Apparel,59,230,13570,5699.4,Online
137,Foot Locker,1185732,1/29/20,Northeast,New York,New York,Men's Apparel,60,850,510000,153000.0,Outlet
138,West Gear,1128299,1/30/20,West,Nevada,Las Vegas,Men's Apparel,43,66,2838,1873.08,Outlet
139,West Gear,1128299,1/30/20,West,Nevada,Las Vegas,Men's Apparel,60,60,3600,2520.0,Online
140,Foot Locker,1185732,1/30/20,Northeast,New York,New York,Women's Apparel,45,238,10710,3748.5,Online
141,Foot Locker,1185732,1/30/20,Northeast,New York,New York,Women's Apparel,50,950,475000,118750.0,Outlet
142,West Gear,1128299,1/30/20,West,Nevada,Las Vegas,Men's Apparel,65,200,130000,78000.0,Outlet
143,Foot Locker,1185732,1/30/20,Northeast,New York,New York,Women's Apparel,36,323,11628,3139.56,Outlet
144,West Gear,1128299,1/31/20,West,Nevada,Las Vegas,Women's Apparel,54,140,7560,2419.2,Outlet
145,Foot Locker,1185732,1/31/20,Northeast,New York,New York,Men's Street Footwear,45,300,13500,8370.0,Online
146,West Gear,1128299,1/31/20,West,Nevada,Las Vegas,Women's Apparel,80,450,360000,90000.0,Outlet
147,Foot Locker,1185732,1/31/20,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000.0,Outlet
148,Foot Locker,1185732,1/31/20,Northeast,New York,New York,Men's Street Footwear,33,372,12276,6629.04,Outlet
149,West Gear,1128299,1/31/20,West,Nevada,Las Vegas,Women's Apparel,78,131,10218,3576.3,Online
150,Foot Locker,1185732,2/1/20,Northeast,New York,New York,Men's Athletic Footwear,35,315,11025,3638.25,Outlet
151,West Gear,1128299,2/1/20,West,Nevada,Las Vegas,Men's Street Footwear,60,700,420000,189000.0,Outlet
152,West Gear,1128299,2/1/20,West,Nevada,Las Vegas,Men's Street Footwear,47,245,11515,5757.5,Outlet
153,Foot Locker,1185732,2/1/20,Northeast,New York,New York,Men's Athletic Footwear,47,234,10998,4509.18,Online
154,Foot Locker,1185732,2/1/20,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000.0,Outlet
155,West Gear,1128299,2/1/20,West,Nevada,Las Vegas,Men's Street Footwear,56,189,10584,6032.88,Online
156,West Gear,1128299,2/2/20,West,Nevada,Las Vegas,Men's Athletic Footwear,62,165,10230,4194.3,Online
157,West Gear,1128299,2/2/20,West,Nevada,Las Vegas,Men's Athletic Footwear,51,182,9282,3341.52,Outlet
158,West Gear,1128299,2/2/20,West,Nevada,Las Vegas,Men's Athletic Footwear,65,550,357500,107250.0,Outlet
159,Foot Locker,1185732,2/2/20,Northeast,New York,New York,Women's Street Footwear,28,315,8820,3351.6,Outlet
160,Foot Locker,1185732,2/2/20,Northeast,New York,New York,Women's Street Footwear,40,900,360000,126000.0,Outlet
161,Foot Locker,1185732,2/2/20,Northeast,New York,New York,Women's Street Footwear,39,252,9828,4914.0,Online
162,West Gear,1128299,2/3/20,West,Nevada,Las Vegas,Women's Street Footwear,65,550,357500,160875.0,Outlet
163,West Gear,1128299,2/3/20,West,Nevada,Las Vegas,Women's Street Footwear,62,165,10230,6035.7,Online
164,Foot Locker,1185732,2/3/20,Northeast,New York,New York,Women's Athletic Footwear,31,289,8959,3314.83,Outlet
165,Foot Locker,1185732,2/3/20,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,Outlet
166,West Gear,1128299,2/3/20,West,Nevada,Las Vegas,Women's Street Footwear,46,176,8096,3886.08,Outlet
167,Foot Locker,1185732,2/3/20,Northeast,New York,New York,Women's Athletic Footwear,41,239,9799,4801.51,Online
168,West Gear,1128299,2/4/20,West,Nevada,Las Vegas,Women's Athletic Footwear,60,425,255000,102000.0,Outlet
169,West Gear,1128299,2/4/20,West,Nevada,Las Vegas,Women's Athletic Footwear,58,111,6438,3283.38,Online
170,West Gear,1128299,2/4/20,West,Nevada,Las Vegas,Women's Athletic Footwear,47,145,6815,3066.75,Outlet
171,Foot Locker,1185732,2/4/20,Northeast,New York,New York,Men's Apparel,60,825,495000,148500.0,Outlet
172,Foot Locker,1185732,2/4/20,Northeast,New York,New York,Men's Apparel,44,281,12364,4451.04,Outlet
173,Foot Locker,1185732,2/4/20,Northeast,New York,New York,Men's Apparel,56,215,12040,5056.8,Online
174,West Gear,1128299,2/5/20,West,Nevada,Las Vegas,Men's Apparel,59,81,4779,3536.46,Online
175,Foot Locker,1185732,2/5/20,Northeast,New York,New York,Women's Apparel,49,238,11662,4314.94,Online
176,Foot Locker,1185732,2/5/20,Northeast,New York,New York,Women's Apparel,39,333,12987,3506.49,Outlet
177,Foot Locker,1185732,2/5/20,Northeast,New York,New York,Women's Apparel,50,950,475000,118750.0,Outlet
178,West Gear,1128299,2/5/20,West,Nevada,Las Vegas,Men's Apparel,47,105,4935,3207.75,Outlet
179,West Gear,1128299,2/5/20,West,Nevada,Las Vegas,Men's Apparel,65,300,195000,117000.0,Outlet
180,Foot Locker,1185732,2/6/20,Northeast,New York,New York,Men's Street Footwear,54,317,17118,10955.52,Online
181,West Gear,1128299,2/6/20,West,Nevada,Las Vegas,Women's Apparel,57,192,10944,3064.32,Outlet
182,West Gear,1128299,2/6/20,West,Nevada,Las Vegas,Women's Apparel,80,600,480000,120000.0,Outlet
183,West Gear,1128299,2/6/20,West,Nevada,Las Vegas,Women's Apparel,73,174,12702,5080.8,Online
184,Foot Locker,1185732,2/6/20,Northeast,New York,New York,Men's Street Footwear,44,366,16104,8374.08,Outlet
185,Foot Locker,1185732,2/6/20,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000.0,Outlet
186,West Gear,1128299,2/7/20,West,Nevada,Las Vegas,Men's Street Footwear,58,218,12644,6701.32,Online
187,Foot Locker,1185732,2/7/20,Northeast,New York,New York,Men's Athletic Footwear,50,259,12950,5180.0,Online
188,Foot Locker,1185732,2/7/20,Northeast,New York,New York,Men's Athletic Footwear,37,296,10952,3833.2,Outlet
189,Foot Locker,1185732,2/7/20,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625.0,Outlet
190,West Gear,1128299,2/7/20,West,Nevada,Las Vegas,Men's Street Footwear,48,233,11184,4920.96,Outlet
191,West Gear,1128299,2/7/20,West,Nevada,Las Vegas,Men's Street Footwear,60,750,450000,180000.0,Outlet
192,West Gear,1128299,2/8/20,West,Nevada,Las Vegas,Men's Athletic Footwear,65,600,390000,97500.0,Outlet
193,Foot Locker,1185732,2/8/20,Northeast,New York,New York,Women's Street Footwear,36,288,10368,4354.56,Outlet
194,West Gear,1128299,2/8/20,West,Nevada,Las Vegas,Men's Athletic Footwear,61,174,10614,3821.04,Online
195,Foot Locker,1185732,2/8/20,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500.0,Outlet
196,West Gear,1128299,2/8/20,West,Nevada,Las Vegas,Men's Athletic Footwear,46,204,9384,2533.68,Outlet
197,Foot Locker,1185732,2/8/20,Northeast,New York,New York,Women's Street Footwear,46,261,12006,5642.82,Online
198,West Gear,1128299,2/9/20,West,Nevada,Las Vegas,Women's Street Footwear,65,550,357500,143000.0,In-store
199,Foot Locker,1185732,2/9/20,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750.0,Outlet
200,Foot Locker,1185732,2/9/20,Northeast,New York,New York,Women's Athletic Footwear,46,230,10580,5078.4,Online
201,Foot Locker,1185732,2/9/20,Northeast,New York,New York,Women's Athletic Footwear,33,289,9537,3814.8,Outlet
202,West Gear,1128299,2/9/20,West,Nevada,Las Vegas,Women's Street Footwear,61,143,8723,4623.19,Online
203,West Gear,1128299,2/9/20,West,Nevada,Las Vegas,Women's Street Footwear,47,171,8037,3616.65,Outlet
204,Foot Locker,1185732,2/10/20,Northeast,New York,New York,Men's Apparel,60,875,525000,157500.0,Outlet
205,Foot Locker,1185732,2/10/20,Northeast,New York,New York,Men's Apparel,59,245,14455,6504.75,Online
206,West Gear,1128299,2/10/20,West,Nevada,Las Vegas,Women's Athletic Footwear,55,117,6435,3153.15,Online
207,West Gear,1128299,2/10/20,West,Nevada,Las Vegas,Women's Athletic Footwear,46,140,6440,2704.8,Outlet
208,West Gear,1128299,2/10/20,West,Nevada,Las Vegas,Women's Athletic Footwear,60,450,270000,94500.0,In-store
209,Foot Locker,1185732,2/10/20,Northeast,New York,New York,Men's Apparel,47,280,13160,4606.0,Outlet
210,West Gear,1128299,2/11/20,West,Nevada,Las Vegas,Men's Apparel,60,130,7800,5460.0,Online
211,West Gear,1128299,2/11/20,West,Nevada,Las Vegas,Men's Apparel,65,500,325000,178750.0,In-store
212,West Gear,1128299,2/11/20,West,Nevada,Las Vegas,Men's Apparel,47,150,7050,4159.5,Outlet
213,West Gear,1128299,2/12/20,West,Nevada,Las Vegas,Women's Apparel,61,170,10370,2799.9,Outlet
214,West Gear,1128299,2/12/20,West,Nevada,Las Vegas,Women's Apparel,78,145,11310,3393.0,Online
215,West Gear,1128299,2/12/20,West,Nevada,Las Vegas,Women's Apparel,80,500,400000,80000.0,In-store
216,West Gear,1128299,2/13/20,West,Nevada,Las Vegas,Men's Street Footwear,44,238,10472,4817.12,Outlet
217,West Gear,1128299,2/13/20,West,Nevada,Las Vegas,Men's Street Footwear,62,210,13020,6900.6,Online
218,West Gear,1128299,2/13/20,West,Nevada,Las Vegas,Men's Street Footwear,65,700,455000,182000.0,In-store
219,West Gear,1128299,2/14/20,West,Nevada,Las Vegas,Men's Athletic Footwear,70,650,455000,113750.0,In-store
220,West Gear,1128299,2/14/20,West,Nevada,Las Vegas,Men's Athletic Footwear,56,208,11648,3377.92,Outlet
221,West Gear,1128299,2/14/20,West,Nevada,Las Vegas,Men's Athletic Footwear,64,182,11648,4542.72,Online
222,West Gear,1128299,2/15/20,West,Nevada,Las Vegas,Women's Street Footwear,65,525,341250,136500.0,In-store
223,West Gear,1128299,2/15/20,West,Nevada,Las Vegas,Women's Street Footwear,60,152,9120,4742.4,Online
224,West Gear,1128299,2/15/20,West,Nevada,Las Vegas,Women's Street Footwear,44,179,7876,3307.92,Outlet
225,West Gear,1128299,2/16/20,West,Nevada,Las Vegas,Women's Athletic Footwear,64,124,7936,3729.92,Online
226,West Gear,1128299,2/16/20,West,Nevada,Las Vegas,Women's Athletic Footwear,65,475,308750,108062.5,In-store
227,West Gear,1128299,2/16/20,West,Nevada,Las Vegas,Women's Athletic Footwear,42,152,6384,2681.28,Outlet
228,West Gear,1128299,2/17/20,West,Nevada,Las Vegas,Men's Apparel,50,152,7600,4484.0,Outlet
229,West Gear,1128299,2/17/20,West,Nevada,Las Vegas,Men's Apparel,75,475,356250,195937.5,In-store
230,West Gear,1128299,2/17/20,West,Nevada,Las Vegas,Men's Apparel,68,138,9384,6381.12,Online
231,West Gear,1128299,2/18/20,West,Nevada,Las Vegas,Women's Apparel,80,400,320000,64000.0,In-store
232,West Gear,1128299,2/18/20,West,Nevada,Las Vegas,Women's Apparel,78,108,8424,2864.16,Online
233,West Gear,1128299,2/18/20,West,Nevada,Las Vegas,Women's Apparel,55,128,7040,1830.4,Outlet
234,West Gear,1128299,2/19/20,West,Nevada,Las Vegas,Men's Street Footwear,60,600,360000,126000.0,In-store
235,West Gear,1128299,2/19/20,West,Nevada,Las Vegas,Men's Street Footwear,41,186,7626,2897.88,Outlet
236,West Gear,1128299,2/19/20,West,Nevada,Las Vegas,Men's Street Footwear,56,174,9744,4677.12,Online
237,West Gear,1128299,2/20/20,West,Nevada,Las Vegas,Men's Athletic Footwear,61,162,9882,3359.88,Online
238,West Gear,1128299,2/20/20,West,Nevada,Las Vegas,Men's Athletic Footwear,65,600,390000,78000.0,In-store
239,West Gear,1128299,2/20/20,West,Nevada,Las Vegas,Men's Athletic Footwear,51,180,9180,2478.6,Outlet
240,West Gear,1128299,2/21/20,West,Nevada,Las Vegas,Women's Street Footwear,46,144,6624,2715.84,Outlet
241,West Gear,1128299,2/21/20,West,Nevada,Las Vegas,Women's Street Footwear,60,450,270000,94500.0,In-store
